,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
1,,30998.0,0.0,,17627.0,1514,,,1.0,1488942590.161774,,,,8.0,
2,,,,,,62,,,,1488942590.161789,,,,,
3,,33046.0,0.0,,17627.0,1514,,,1.0,1488942590.161816,,,,0.0,
4,,,,,,62,,,,1488942590.161831,,,,,
5,,31726.0,0.0,,17627.0,1514,,,2.0,1488942591.171759,,,,8.0,
6,,,,,,62,,,,1488942591.171781,,,,,
7,,33774.0,0.0,,17627.0,1514,,,2.0,1488942591.171808,,,,0.0,
8,,,,,,62,,,,1488942591.171821,,,,,
9,,48015.0,0.0,,17627.0,1514,,,3.0,1488942592.195605,,,,8.0,
10,,,,,,62,,,,1488942592.195621,,,,,
11,,50063.0,0.0,,17627.0,1514,,,3.0,1488942592.195656,,,,0.0,
12,,,,,,62,,,,1488942592.195666,,,,,
13,,63536.0,0.0,,17627.0,1514,,,4.0,1488942593.219605,,,,8.0,
14,,,,,,62,,,,1488942593.219627,,,,,
15,,49.0,0.0,,17627.0,1514,,,4.0,1488942593.219654,,,,0.0,
16,,,,,,62,,,,1488942593.219666,,,,,
17,,13522.0,0.0,,17627.0,1514,,,5.0,1488942594.243569,,,,8.0,
18,,,,,,62,,,,1488942594.243585,,,,,
19,,15570.0,0.0,,17627.0,1514,,,5.0,1488942594.243616,,,,0.0,
20,,,,,,62,,,,1488942594.243627,,,,,
21,,31859.0,0.0,,17627.0,1514,,,6.0,1488942595.267565,,,,8.0,
22,,,,,,62,,,,1488942595.267579,,,,,
23,,33907.0,0.0,,17627.0,1514,,,6.0,1488942595.267614,,,,0.0,
24,,,,,,62,,,,1488942595.267625,,,,,
25,,46100.0,0.0,,17627.0,1514,,,7.0,1488942596.291471,,,,8.0,
26,,,,,,62,,,,1488942596.291487,,,,,
27,,48148.0,0.0,,17627.0,1514,,,7.0,1488942596.291519,,,,0.0,
28,,,,,,62,,,,1488942596.291531,,,,,
29,,61877.0,0.0,,17627.0,1514,,,8.0,1488942597.315451,,,,8.0,
30,,,,,,62,,,,1488942597.315468,,,,,
31,,63925.0,0.0,,17627.0,1514,,,8.0,1488942597.315504,,,,0.0,
32,,,,,,62,,,,1488942597.315515,,,,,
33,,17302.0,0.0,,17631.0,1514,,,1.0,1488942602.625647,,,,8.0,
34,,,,,,1514,,,,1488942602.625666,,,,,
35,,,,,,1514,,,,1488942602.62567,,,,,
36,,,,,,1514,,,,1488942602.625673,,,,,
37,,,,,,1514,,,,1488942602.625675,,,,,
38,,,,,,1514,,,,1488942602.625677,,,,,
39,,,,,,1514,,,,1488942602.625716,,,,,
40,,,,,,1514,,,,1488942602.625719,,,,,
41,,,,,,1514,,,,1488942602.625721,,,,,
42,,,,,,1514,,,,1488942602.625732,,,,,
43,,,,,,242,,,,1488942602.625734,,,,,
44,,19350.0,0.0,,17631.0,1514,,,1.0,1488942602.625779,,,,0.0,
45,,,,,,1514,,,,1488942602.625813,,,,,
46,,,,,,1514,,,,1488942602.625827,,,,,
47,,,,,,1514,,,,1488942602.625838,,,,,
48,,,,,,1514,,,,1488942602.625849,,,,,
49,,,,,,1514,,,,1488942602.625866,,,,,
50,,,,,,1514,,,,1488942602.625878,,,,,
51,,,,,,1514,,,,1488942602.625889,,,,,
52,,,,,,1514,,,,1488942602.6259,,,,,
53,,,,,,1514,,,,1488942602.625915,,,,,
54,,,,,,242,,,,1488942602.625927,,,,,
55,,17457.0,0.0,,17631.0,1514,,,2.0,1488942603.651192,,,,8.0,
56,,,,,,1514,,,,1488942603.651214,,,,,
57,,,,,,1514,,,,1488942603.651217,,,,,
58,,,,,,1514,,,,1488942603.651219,,,,,
59,,,,,,1514,,,,1488942603.651222,,,,,
60,,,,,,1514,,,,1488942603.651224,,,,,
61,,,,,,1514,,,,1488942603.651234,,,,,
62,,,,,,1514,,,,1488942603.651237,,,,,
63,,,,,,1514,,,,1488942603.651247,,,,,
64,,,,,,1514,,,,1488942603.651249,,,,,
65,,,,,,242,,,,1488942603.651251,,,,,
66,,19505.0,0.0,,17631.0,1514,,,2.0,1488942603.651285,,,,0.0,
67,,,,,,1514,,,,1488942603.651301,,,,,
68,,,,,,1514,,,,1488942603.651303,,,,,
69,,,,,,1514,,,,1488942603.651304,,,,,
70,,,,,,1514,,,,1488942603.651305,,,,,
71,,,,,,1514,,,,1488942603.651306,,,,,
72,,,,,,1514,,,,1488942603.651307,,,,,
73,,,,,,1514,,,,1488942603.651308,,,,,
74,,,,,,1514,,,,1488942603.65131,,,,,
75,,,,,,1514,,,,1488942603.651311,,,,,
76,,,,,,242,,,,1488942603.651312,,,,,
77,,32466.0,0.0,,17631.0,1514,,,3.0,1488942604.675131,,,,8.0,
78,,,,,,1514,,,,1488942604.675144,,,,,
79,,,,,,1514,,,,1488942604.675158,,,,,
80,,,,,,1514,,,,1488942604.67516,,,,,
81,,,,,,1514,,,,1488942604.675162,,,,,
82,,,,,,1514,,,,1488942604.675164,,,,,
83,,,,,,1514,,,,1488942604.675223,,,,,
84,,,,,,1514,,,,1488942604.675228,,,,,
85,,,,,,1514,,,,1488942604.67523,,,,,
86,,,,,,1514,,,,1488942604.675231,,,,,
87,,,,,,242,,,,1488942604.675233,,,,,
88,,34514.0,0.0,,17631.0,1514,,,3.0,1488942604.675268,,,,0.0,
89,,,,,,1514,,,,1488942604.675279,,,,,
90,,,,,,1514,,,,1488942604.675281,,,,,
91,,,,,,1514,,,,1488942604.675282,,,,,
92,,,,,,1514,,,,1488942604.675283,,,,,
93,,,,,,1514,,,,1488942604.675284,,,,,
94,,,,,,1514,,,,1488942604.675285,,,,,
95,,,,,,1514,,,,1488942604.675286,,,,,
96,,,,,,1514,,,,1488942604.675287,,,,,
97,,,,,,1514,,,,1488942604.675288,,,,,
98,,,,,,242,,,,1488942604.675289,,,,,
99,,50035.0,0.0,,17631.0,1514,,,4.0,1488942605.699119,,,,8.0,
100,,,,,,1514,,,,1488942605.699134,,,,,
101,,,,,,1514,,,,1488942605.699136,,,,,
102,,,,,,1514,,,,1488942605.699138,,,,,
103,,,,,,1514,,,,1488942605.699141,,,,,
104,,,,,,1514,,,,1488942605.699143,,,,,
105,,,,,,1514,,,,1488942605.699172,,,,,
106,,,,,,1514,,,,1488942605.699175,,,,,
107,,,,,,1514,,,,1488942605.699177,,,,,
108,,,,,,1514,,,,1488942605.699179,,,,,
109,,,,,,242,,,,1488942605.69918,,,,,
110,,52083.0,0.0,,17631.0,1514,,,4.0,1488942605.699215,,,,0.0,
111,,,,,,1514,,,,1488942605.699225,,,,,
112,,,,,,1514,,,,1488942605.699227,,,,,
113,,,,,,1514,,,,1488942605.699228,,,,,
114,,,,,,1514,,,,1488942605.699229,,,,,
115,,,,,,1514,,,,1488942605.69923,,,,,
116,,,,,,1514,,,,1488942605.699231,,,,,
117,,,,,,1514,,,,1488942605.699232,,,,,
118,,,,,,1514,,,,1488942605.699233,,,,,
119,,,,,,1514,,,,1488942605.699234,,,,,
120,,,,,,242,,,,1488942605.699236,,,,,
121,,63508.0,0.0,,17631.0,1514,,,5.0,1488942606.723076,,,,8.0,
122,,,,,,1514,,,,1488942606.723092,,,,,
123,,,,,,1514,,,,1488942606.723094,,,,,
124,,,,,,1514,,,,1488942606.723098,,,,,
125,,,,,,1514,,,,1488942606.723101,,,,,
126,,,,,,1514,,,,1488942606.723104,,,,,
