,ethDst,ethSrc,ipv4Dst,ipv4Flg,ipv4Frg,ipv4Ihl,ipv4Len,ipv4Pro,ipv4Src,ipv4TTL,ipv4Tos,len,time
1,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942590.161774
2,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,185,5,48,1,192.168.238.229,64,0,62,1488942590.161789
3,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942590.161816
4,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,185,5,48,1,192.168.238.50,64,0,62,1488942590.161831
5,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942591.171759
6,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,185,5,48,1,192.168.238.229,64,0,62,1488942591.171781
7,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942591.171808
8,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,185,5,48,1,192.168.238.50,64,0,62,1488942591.171821
9,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942592.195605
10,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,185,5,48,1,192.168.238.229,64,0,62,1488942592.195621
11,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942592.195656
12,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,185,5,48,1,192.168.238.50,64,0,62,1488942592.195666
13,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942593.219605
