,Accept,Accept-Encoding,Accept-Language,Cache-Control,Connection,Content-Length,Content-Type,Cookie,DNT,Host,If-Modified-Since,If-None-Match,Origin,Pragma,Range,Referer,Upgrade-Insecure-Requests,X-Requested-With,X-XSRFToken,httpMethod,httpPath,httpProto,len,respCode,respMsg,time,uAgentBrowser,uAgentOS,label
182,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/index.html,1.0,,,GET,/ppp_tc/15_recruit/how_to_apply.html,HTTP/1.1,751,,,1487668458.526617,Firefox,Linux,norm
190,"text/css,*/*;q=0.1","gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/php/master/css.php?lang=tc,HTTP/1.1,679,,,1487668458.672358,Firefox,Linux,norm
199,"text/css,*/*;q=0.1","gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/cust/css/ppp.css,HTTP/1.1,669,,,1487668458.736794,Firefox,Linux,norm
200,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/php/master/js.php?lang=tc,HTTP/1.1,663,,,1487668458.736852,Firefox,Linux,norm
259,"text/css,*/*;q=0.1","gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/info/php/master/css.php?lang=tc,,,,GET,/info/css/print.css,HTTP/1.1,662,,,1487668458.765033,Firefox,Linux,norm
263,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/php/js.php,HTTP/1.1,647,,,1487668458.8414214,Firefox,Linux,norm
282,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/req/loading.gif,HTTP/1.1,648,,,1487668458.893641,Firefox,Linux,norm
283,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/jquery-2.1.3.min.js,HTTP/1.1,660,,,1487668458.9147868,Firefox,Linux,norm
331,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/jquery-ui-1.11.1.custom/jquery-ui.min.js,HTTP/1.1,681,,,1487668458.923852,Firefox,Linux,norm
372,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/js/wcag.js,HTTP/1.1,647,,,1487668458.931384,Firefox,Linux,norm
400,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/foundation-5.5/js/vendor/modernizr.js,HTTP/1.1,678,,,1487668458.964669,Firefox,Linux,norm
406,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/jquery.menu-aim.js,HTTP/1.1,659,,,1487668459.018507,Firefox,Linux,norm
410,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/jquery.style-my-tooltips.js,HTTP/1.1,668,,,1487668459.024018,Firefox,Linux,norm
413,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/app/lib/foundation-5.5/js/foundation.min.js,HTTP/1.1,676,,,1487668459.114985,Firefox,Linux,norm
462,"text/html, */*; q=0.01","gzip, deflate","en,en-US;q=0.5",,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,"Tue, 22 Nov 2016 01:26:57 GMT","""72278-9f6-541d9ab0cba40""",,,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,XMLHttpRequest,,GET,/ppp_tc/panel/text_header.html,HTTP/1.1,764,,,1487668459.2002301,Firefox,Linux,norm
